BookID,BookTitle,BookGenre
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",fantasy
3753,"Harry Potter Collection (Harry Potter, #1-6)",fantasy
8305,Oracle Night,fiction
1896,"Pollyanna (Pollyanna, #1)",classics
9444,"Journal 64 (Afdeling Q, #4)",default
9908,Homo Faber,classics
3698,The Real Mother Goose,kids
7249,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,travel
351,"Clockwork Prince (The Infernal Devices, #2)",fantasy
6354,The Wall,philosophy
8831,Assata: An Autobiography,non-fiction
567,The Language of Flowers,fantasy
4485,Being and Nothingness,philosophy
1881,The Mote in God's Eye,science-fiction
4584,No Exit and Three Other Plays,plays
6408,"Beauty Pop, Vol. 1 (Beauty Pop, #1)",manga
1726,"Dragon Rider (Dragon Rider, #1)",fantasy
3877,Girls in White Dresses,fiction
9636,"The Sea of Trolls (Sea of Trolls, #1)",fantasy
9446,The Single Girl's To-Do List,chick-lit
680,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,personal-development
1190,Rules of Civility,fiction
2647,Flags of Our Fathers,history
3847,The Midwife's Confession,fiction
2597,Wayside School Is Falling Down (Wayside School #2),childrens
1421,A Long Way Down,fiction
1682,"The Magician King (The Magicians, #2)",fantasy
9682,"H.I.V.E. Higher Institute of Villainous Education (H.I.V.E., #1)",young-adult
8651,"River of Blue Fire (Otherland, #2)",fantasy
9770,مخطوطة بن إسحاق: مدينة الموتى,روايات
9019,"Mountain of Black Glass (Otherland, #3)",fantasy
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",fantasy
9922,"Sea of Silver Light (Otherland, #4)",fantasy
3795,"Perelandra (Space Trilogy, #2)",science-fiction
5229,"That Hideous Strength (Space Trilogy, #3)",science-fiction
4809,Chanakya's Chant,fiction
6875,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,cookbooks
2186,The Six Wives of Henry VIII,history
9113,The Last Wife of Henry VIII,historical-fiction
4368,"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers",historical-fiction
8352,The Devil All the Time,fiction
9991,The Famished Road,fiction
9833,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,travel
1941,Night Film,mystery
8172,"Ouran High School Host Club, Vol. 2 (Ouran High School Host Club, #2)",manga
7138,The Memoirs of Cleopatra,historical-fiction
5059,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",non-fiction
9965,Mister B. Gone,horror
5657,I'm Just Here for the Food: Food + Heat = Cooking,cookbooks
8286,On Food and Cooking: The Science and Lore of the Kitchen,food
